tradeDate,证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股/份),融券余量(股/份),融券余额(元),融资融券余额(元)
20260224,002044,美年健康,215860057,846707577,747200,1462000,9707680,856415257
20260224,002045,国光电器,17271351,428909101,17100,91700,1277381,430186482
20260224,002046,国机精工,89527348,1273627806,1700,58500,2745405,1276373211
20260224,002048,宁波华翔,106904518,1101160464,28900,173805,5447048,1106607512
20260224,002049,紫光国微,208420950,4228875099,2000,55946,4410223,4233285322
20260224,002050,三花智控,950383447,6922041821,24000,335162,17673092,6939714913
20260224,002051,中工国际,11403659,259545329,0,92600,797286,260342615
20260224,002053,云南能投,4746172,554685991,3000,12100,137214,554823205
20260224,002054,德美化工,56182382,235069831,8400,22300,227014,235296845
20260224,002056,横店东磁,31225373,809564949,12300,71500,1473615,811038564
20260224,002057,中钢天源,23882844,494037107,0,0,0,494037107
20260224,002060,广东建工,9163205,192180315,1800,15500,59210,192239525
20260224,002061,浙江交科,12800609,262794213,76400,608400,2482272,265276485
20260224,002062,宏润建设,30885088,691580948,0,0,0,691580948
20260224,002063,远光软件,39329793,707564634,100,134149,893432,708458066
20260224,002064,华峰化学,44234073,269647170,117600,1172527,14715214,284362384
20260224,002065,东华软件,41240296,1410433449,2200,388470,3698234,1414131683
20260224,002067,景兴纸业,61579882,556541388,1200,3900,22503,556563891
20260224,002068,黑猫股份,8922708,281811827,500,125900,1183460,282995287
20260224,002073,软控股份,20759319,472893044,0,12100,99220,472992264
20260224,002074,国轩高科,122800311,2813551826,2800,132800,5005232,2818557058
20260224,002075,沙钢股份,13970425,1216927556,0,47200,261960,1217189516
20260224,002077,大港股份,22932944,249667190,0,78500,1329005,250996195
20260224,002078,太阳纸业,30148541,359782460,89000,275900,4720649,364503109
20260224,002079,苏州固锝,68696277,518394693,900,228700,2588884,520983577
20260224,002080,中材科技,446181376,1133433608,14600,123400,6384716,1139818324
20260224,002081,金 螳 螂,6580895,330146591,3300,398500,1462495,331609086
20260224,002085,万丰奥威,85716298,1550191321,50000,900600,14373576,1564564897
20260224,002088,鲁阳节能,6906872,132506077,0,8460,101097,132607174
20260224,002091,江苏国泰,6725139,447194282,0,26500,235055,447429337
20260224,002093,国脉科技,11576344,406711048,15000,294200,3315634,410026682
